"ID","Url","Domain","Infos","Status","Status-txt","X","Y","Degree-2018","Degree","Creation","Last-update","Last-url","First-social","Note-first-social","Url-first-social","Pseudo","Mentions","Blog-users","Stable-users","Death-url","Prev-url","X-prev","Y-prev","Note-prev","Note-prev-url","Post-url","Note-post","Creation-post-url","Fb","Fb-countries","Follow-fb","Creation-fb","Degree-fb","X-fb","Y-fb","Tw","Tw-countries","Follow-tw","Creation-tw","Degree-tw","X-tw","Y-tw","Yt","Degree-yt","X-yt","Y-yt","Md","Degree-md","X-md","Y-md","Fk","Degree-fk","X-fk","Y-fk"
11,"http://lemythe.com/","lemythe.com",,0,"dead",115,539,0,10,2006,2013,"https://web.archive.org/web/20131203063956/http://www.lemythe.com/","NA","NA","NA","le mythe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
12,"http://larbi.org/","larbi.org",,0,"dead",189,338,0,27,2002,2013,"https://web.archive.org/web/20131226004405/http://larbi.org/",2011,"riots in Morroco in 2011","https://web.archive.org/web/20110319191709/http://www.larbi.org:80/post/2011/02/Morocco-Feb20-Maroc-20Fev","larbi","http://manal.over-blog.com/article-517669.html - https://fr.wikipedia.org/wiki/Maroc_Web_Awards ",4177,647,"https://web.archive.org/web/20140119233126/http://www.larbi.org/post/2013/12/A-nos-apprentis-dictateurs-redacteurs-du-Code-du-Numerique","NA","NA","NA","NA","Twitter est lié le 21/07/2011 conjointement à https://web.archive.org/web/20110726211844/http://www.larbi.org/post/2011/07/Apres-le-referendum-plebiscitaire ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://twitter.com/larbi_org ","None:13475;Morocco:3185;France:305;United-States:189;Misc:865",24300,2008,50,189,338,"NA","NA","NA","NA","NA","NA","NA","NA","https://www.flickr.com/people/21382380@N03/ ",30,199,295
13,"http://lallamenana.free.fr/","lallamenana.free.fr",,0,"dead",360,518,0,3,2007,2009,"https://web.archive.org/web/20120528100058/http://lallamenana.free.fr/","NA","NA","NA","lalaMennana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://www.facebook.com/%D8%A3%D9%84%D8%B0-%D8%A7%D9%84%D8%A3%D8%B7%D8%A8%D8%A7%D9%82-427979230601469/ ","Algeria:2619;Morocco:469;Egypt:328;Tunisia:252;Libya:235;France:117;Misc:571",4603,2013,33,360,530,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
14,"http://kingstoune.com/","kingstoune.com",,0,"dead",221,422,0,7,2005,2012,"https://web.archive.org/web/20120905232543/http://kingstoune.com:80/","NA","NA","NA","kingstoune","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://twitter.com/kingstoune ","None:1099;Morocco:814;France:152;United-States:52;Misc:177",2347,2009,33,221,422,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
15,"http://cabalamuse.wordpress.com/","cabalamuse.wordpress.com",,3,"alive",344,441,10,14,2008,2012,"https://web.archive.org/web/20121114053248/http://cabalamuse.wordpress.com/",2010,"NA","NA","cabalamuse","NA","NA","NA","NA","NA",-30,441,"† Dec 2012","NA","https://amoroccandrifter.wordpress.com/ ","† Dec 2012",2011,"NA","NA","NA","NA","NA","NA","NA","https://twitter.com/Cabalamuse ","None:45;Morocco:45;United-States:10;France:6;Misc:13",121,2010,33,344,470,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
16,"http://www.anasalaoui.com/","anasalaoui.com",,0,"dead",106,396,0,4,2007,2011,"https://web.archive.org/web/20111209053830/http://www.anasalaoui.com:80/",2011,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://twitter.com/AnasAlaoui","None:10297;Morocco:4186;United-States:325;Canada:77;United-Kingdom:73;Spain:69;Misc:1433",1600,2008,34,97,396,"NA","NA","NA","NA","https://medium.com/@anasalaoui",30,61,398,"NA","NA","NA","NA"
17,"http://adilski.blogspot.com/","adilski.blogspot.com",,0,"dead",499,404,4,4,2006,2007,"https://web.archive.org/web/20070716141004/http://adilski.blogspot.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
18,"http://www.7didane.org/","7didane.org",,0,"dead",159,600,5,5,2008,2011,"https://web.archive.org/web/20111228085230/http://www.7didane.org:80/",2009,"the riots in Iran in 2009","https://web.archive.org/web/20090627012354/http://www.7didane.org:80/2009/06/16/1453/","NA","NA","NA","NA","https://web.archive.org/web/20120415100250/http://www.7didane.org:80/ ","https://web.archive.org/web/20110810230023/http://7didane.blogspot.com/",-30,610,"† Feb 2008","mort en 2008","NA","NA","NA","https://www.facebook.com/7didane ","Morocco:117307;Egypt:2789;France:2437;China:1835;Spain:1632;Algeria:1628;Misc:12691",141947,2013,60,159,600,"https://twitter.com/7didane ","None:11742;Morocco:2734;South-Korea:159;United-States:152;Misc:796",43000,2008,55,97,602,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
19,"http://traselviaje.blogspot.com/","traselviaje.blogspot.com",,0,"dead",400,89,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
20,"http://kennza.wordpress.com/","kennza.wordpress.com",,0,"dead",263,615,7,7,2007,2009,"https://web.archive.org/web/20090406080035/http://kennza.wordpress.com:80/","NA","NA","NA","kennza","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
